cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
2016-09,1.0,,,,,,,,,,,,,,,,,,,
2016-10,1.0,,,,,,0.0038,,,0.0038,,0.0038,,0.0038,,0.0038,,0.0038,0.0076,0.0076
2016-12,1.0,1.0,,,,,,,,,,,,,,,,,,
2017-01,1.0,0.0028,0.0028,0.0014,0.0042,0.0014,0.0042,0.0014,0.0014,,0.0042,0.0014,0.007,0.0042,0.0014,0.0014,0.0028,0.0042,0.0014,
2017-02,1.0,0.0018,0.0031,0.0012,0.0043,0.0012,0.0025,0.0018,0.0012,0.0018,0.0012,0.0031,0.0012,0.0018,0.0012,0.0006,0.0006,0.0018,,
2017-03,1.0,0.0044,0.0036,0.004,0.0036,0.0016,0.0016,0.0032,0.0032,0.0008,0.0036,0.0012,0.002,0.0012,0.0016,0.0024,0.0008,0.0012,,
2017-04,1.0,0.0062,0.0022,0.0018,0.0027,0.0027,0.0035,0.0031,0.0031,0.0018,0.0027,0.0009,0.0004,0.0004,0.0009,0.0009,0.0013,,,
2017-05,1.0,0.0046,0.0046,0.0029,0.0029,0.0032,0.0041,0.0014,0.0026,0.0026,0.0026,0.0035,0.0023,0.0003,0.0017,0.002,,,,
2017-06,1.0,0.0049,0.004,0.0043,0.003,0.004,0.0036,0.0023,0.0013,0.002,0.003,0.0036,0.0016,0.0016,0.0023,,,,,
2017-07,1.0,0.0053,0.0035,0.0024,0.0029,0.0021,0.0032,0.0011,0.0019,0.0027,0.0021,0.0029,0.0013,0.0024,,,,,,
2017-08,1.0,0.0069,0.0035,0.0027,0.0035,0.0052,0.003,0.0027,0.0015,0.0015,0.0025,0.002,0.0012,,,,,,,
2017-09,1.0,0.007,0.0055,0.0027,0.0045,0.0022,0.0022,0.0025,0.0027,0.0017,0.0025,0.0007,,,,,,,,
2017-10,1.0,0.0072,0.0025,0.0009,0.0023,0.0021,0.0021,0.0037,0.0028,0.0018,0.0021,,,,,,,,,
2017-11,1.0,0.0057,0.0037,0.0017,0.0017,0.0018,0.0011,0.0018,0.0013,0.0006,,,,,,,,,,
2017-12,1.0,0.0021,0.0028,0.0034,0.0026,0.0021,0.0017,0.0002,0.0019,,,,,,,,,,,
2018-01,1.0,0.0034,0.0037,0.0029,0.0029,0.0016,0.0018,0.0023,,,,,,,,,,,,
2018-02,1.0,0.0035,0.004,0.003,0.0025,0.0022,0.0021,,,,,,,,,,,,,
2018-03,1.0,0.004,0.003,0.003,0.0012,0.0012,,,,,,,,,,,,,,
2018-04,1.0,0.0059,0.003,0.0024,0.0014,,,,,,,,,,,,,,,
2018-05,1.0,0.0052,0.0026,0.0018,,,,,,,,,,,,,,,,
2018-06,1.0,0.0043,0.0027,,,,,,,,,,,,,,,,,
2018-07,1.0,0.0052,,,,,,,,,,,,,,,,,,
2018-08,1.0,,,,,,,,,,,,,,,,,,,
